Country Name,Country Code,2019
Aruba,ABW,106310
Africa Eastern and Southern,AFE,660046272
Afghanistan,AFG,38041757
Africa Western and Central,AFW,446911598
Angola,AGO,31825299
Albania,ALB,2854191
Andorra,AND,77146
Arab World,ARB,427870273
United Arab Emirates,ARE,9770526
Argentina,ARG,44938712
Armenia,ARM,2957728
American Samoa,ASM,55312
Antigua and Barbuda,ATG,97115
Australia,AUS,25365745
Austria,AUT,8879920
Azerbaijan,AZE,10024283
Burundi,BDI,11530577
Belgium,BEL,11488980
Benin,BEN,11801151
Burkina Faso,BFA,20321383
Bangladesh,BGD,163046173
Bulgaria,BGR,6975761
Bahrain,BHR,1641164
"Bahamas, The",BHS,389486
Bosnia and Herzegovina,BIH,3300998
Belarus,BLR,9419758
Belize,BLZ,390351
Bermuda,BMU,63911
Bolivia,BOL,11513102
Brazil,BRA,211049519
Barbados,BRB,287021
Brunei Darussalam,BRN,433296
Bhutan,BTN,763094
Botswana,BWA,2303703
Central African Republic,CAF,4745179
Canada,CAN,37601230
Central Europe and the Baltics,CEB,102398494
Switzerland,CHE,8575280
Channel Islands,CHI,172264
Chile,CHL,18952035
China,CHN,1407745000
Cote d'Ivoire,CIV,25716554
Cameroon,CMR,25876387
"Congo, Dem. Rep.",COD,86790568
"Congo, Rep.",COG,5380504
Colombia,COL,50339443
Comoros,COM,850891
Cabo Verde,CPV,549936
Costa Rica,CRI,5047561
Caribbean small states,CSS,7401389
Cuba,CUB,11333484
Curacao,CUW,157441
Cayman Islands,CYM,64948
Cyprus,CYP,1198574
Czechia,CZE,10671870
Germany,DEU,83092962
Djibouti,DJI,973557
Dominica,DMA,71808
Denmark,DNK,5814422
Dominican Republic,DOM,10738957
Algeria,DZA,43053054
East Asia & Pacific (excluding high income),EAP,2103723076
Early-demographic dividend,EAR,3290291029
East Asia & Pacific,EAS,2351127942
Europe & Central Asia (excluding high income),ECA,399386100
Europe & Central Asia,ECS,920807612
Ecuador,ECU,17373657
"Egypt, Arab Rep.",EGY,100388076
Euro area,EMU,342283354
Eritrea,ERI,
Spain,ESP,47134837
Estonia,EST,1326855
